ingresos_mensuales,deuda_activa,historial_pagos,antiguedad_laboral,creditos_activos,monto_solicitado,atrasos_previos,dependientes_economicos,utilizacion_credito,en_riesgo
7475.09,15678.43,66.9,10.4,5.0,21696.06,1.0,4.0,12.6,0
3172.05,15304.63,82.8,5.0,5.0,31238.6,7.0,3.0,,0
8901.44,11730.06,30.6,13.8,5.0,51825.81,6.0,2.0,97.8,1
9509.81,21856.35,56.7,0.2,2.0,7121.45,0.0,1.0,59.8,0
256.69,20111.82,81.2,1.7,3.0,30847.45,2.0,4.0,93.5,0
2333.03,3684.15,64.4,8.6,0.0,46984.04,3.0,3.0,40.3,0
6909.09,3136.27,,4.6,5.0,10904.92,0.0,4.0,29.6,0
5488.02,21822.16,28.3,2.5,2.0,37013.2,6.0,5.0,4.9,1
6446.24,10662.42,25.8,2.3,3.0,38616.61,1.0,5.0,79.1,1
,20718.37,79.9,7.1,4.0,7277.85,1.0,5.0,63.5,0
9314.07,25028.38,82.0,1.3,5.0,33548.34,2.0,2.0,40.6,0
8988.93,6561.42,,11.8,0.0,21744.21,7.0,0.0,29.8,0
6711.3,5296.16,71.8,2.6,5.0,24274.65,1.0,3.0,83.6,0
10107.17,33069.89,79.4,0.4,2.0,21100.54,3.0,2.0,47.0,0
7996.03,21164.14,45.1,6.0,2.0,40752.27,5.0,5.0,47.3,1
3750.26,14226.83,47.4,0.5,0.0,23654.55,1.0,0.0,35.2,0
7680.0,9594.54,67.2,7.8,5.0,19440.24,0.0,5.0,40.6,0
3431.58,13406.03,82.9,2.5,3.0,19643.49,0.0,3.0,67.4,0
9311.04,,37.3,7.7,0.0,20908.12,1.0,0.0,12.3,0
6340.24,25950.71,58.6,5.0,0.0,12045.57,2.0,1.0,54.3,0
5908.44,11009.24,57.6,,5.0,19334.39,7.0,0.0,78.8,0
4321.03,27841.81,72.2,4.4,0.0,26412.04,7.0,5.0,49.6,1
10412.13,14394.34,62.8,6.6,3.0,29852.58,4.0,3.0,81.5,1
6005.51,8609.85,51.0,0.9,4.0,39448.47,7.0,3.0,89.5,0
5129.35,14163.29,90.5,4.8,6.0,27891.75,0.0,3.0,77.3,0
5373.17,-5617.5,51.1,1.2,1.0,19306.36,4.0,2.0,37.0,0
8203.39,16913.08,56.6,0.7,2.0,12867.52,3.0,1.0,51.0,0
7669.42,,28.0,8.8,1.0,28533.84,0.0,4.0,61.7,0
7820.74,25422.68,47.3,1.8,6.0,23591.55,4.0,0.0,38.8,1
7878.63,1023.26,74.4,13.2,4.0,23988.19,3.0,1.0,37.9,0
13353.27,28456.8,,6.6,6.0,28150.35,6.0,5.0,36.2,0
5199.47,25385.39,76.2,0.7,0.0,31232.67,3.0,0.0,123.2,1
4860.82,29268.39,75.1,2.9,4.0,28236.82,3.0,5.0,44.4,0
3895.93,17525.51,108.9,5.6,0.0,22953.78,1.0,0.0,81.9,0
8471.13,27125.07,46.5,9.5,0.0,,3.0,2.0,27.7,1
10112.71,4758.8,27.4,8.6,3.0,17646.58,0.0,3.0,99.6,1
6135.37,24417.43,39.9,4.7,2.0,,4.0,0.0,41.4,1
3811.5,11059.54,47.5,13.2,2.0,,3.0,5.0,53.5,1
3861.66,3137.38,41.6,2.3,0.0,8847.49,2.0,5.0,0.7,1
8581.9,7882.74,65.1,2.0,3.0,38914.9,2.0,1.0,83.3,0
8878.41,18049.78,90.6,2.6,2.0,13691.46,7.0,1.0,89.3,0
8238.09,10581.31,96.9,,6.0,25422.97,5.0,4.0,18.8,0
,21384.66,74.1,10.2,5.0,30893.96,6.0,2.0,84.9,1
7242.92,1725.86,110.1,0.4,3.0,25038.62,3.0,0.0,14.6,0
6873.39,-1143.88,55.2,9.9,5.0,-4737.65,3.0,4.0,69.7,0
7199.8,30351.49,27.1,1.2,4.0,29685.86,0.0,2.0,43.9,1
9288.57,26134.2,86.2,2.2,3.0,40917.56,5.0,2.0,89.4,1
7215.51,8556.33,22.6,0.1,6.0,34438.39,0.0,3.0,59.0,0
8672.52,17973.0,46.4,1.3,4.0,-487.93,7.0,3.0,78.1,1
,27175.56,74.4,1.3,3.0,50526.93,5.0,4.0,86.7,1
7425.18,21772.81,60.7,3.5,3.0,9089.78,3.0,4.0,43.9,0
8520.12,19334.01,58.8,,5.0,12058.97,5.0,5.0,51.2,0
,27856.39,37.0,0.3,5.0,34382.53,7.0,5.0,20.9,1
5477.05,11423.59,62.8,10.7,3.0,30434.1,1.0,3.0,43.6,0
4994.81,18280.61,85.1,9.1,1.0,25964.02,5.0,3.0,106.0,1
4455.59,,63.4,,4.0,18167.13,6.0,2.0,156.0,0
5619.54,15545.14,44.7,2.5,3.0,40970.28,4.0,3.0,22.8,1
11283.81,14491.75,35.6,7.6,6.0,24528.09,5.0,0.0,97.7,1
,18655.81,45.2,0.8,6.0,6210.2,4.0,2.0,62.9,1
,18309.67,71.6,6.2,0.0,39787.6,1.0,1.0,75.3,0
1114.82,8564.15,70.6,1.2,6.0,27631.42,7.0,3.0,65.7,1
5428.37,25216.16,,8.7,6.0,38380.08,2.0,5.0,63.8,0
-229.84,9212.53,,11.2,6.0,,3.0,2.0,-3.9,1
8375.91,16035.9,72.2,1.0,3.0,53699.47,7.0,3.0,83.0,1
8775.93,15342.48,43.3,4.8,1.0,21280.36,0.0,2.0,-11.1,0
9038.71,21222.93,,5.7,4.0,25193.12,3.0,2.0,80.4,1
5384.08,-1071.94,46.4,1.5,6.0,33637.97,4.0,4.0,54.8,1
5020.47,26018.19,41.3,3.4,3.0,21354.49,1.0,1.0,75.4,1
9245.52,11907.09,66.4,10.9,6.0,34631.65,5.0,5.0,56.4,0
5887.83,28979.67,114.9,5.9,1.0,-10368.96,4.0,0.0,81.2,1
2417.8,13696.52,79.5,,5.0,24126.6,2.0,1.0,52.5,0
2873.48,17560.41,66.0,5.7,0.0,23764.09,1.0,4.0,59.9,0
3557.75,35224.07,70.9,16.1,5.0,23329.42,2.0,0.0,63.3,0
8090.91,15503.96,24.5,0.3,6.0,14476.88,6.0,2.0,104.6,1
6955.76,29149.65,38.3,0.9,4.0,35873.47,4.0,2.0,68.8,1
8709.55,,7.8,9.2,4.0,18946.66,6.0,5.0,15.1,1
5132.79,21738.77,101.1,5.7,2.0,27403.29,5.0,0.0,36.2,0
7007.33,18629.63,96.6,0.4,6.0,24554.04,6.0,2.0,68.7,0
8501.89,25630.66,71.6,0.5,0.0,31004.37,6.0,2.0,87.3,0
5510.09,11830.22,66.0,7.7,2.0,42171.53,4.0,4.0,31.8,1
7961.68,9143.56,28.9,3.6,0.0,27341.25,2.0,3.0,114.7,1
4381.84,12252.81,58.2,7.0,1.0,35096.76,5.0,0.0,56.9,0
5338.23,18897.39,102.4,11.6,3.0,26738.44,7.0,5.0,63.8,1
5278.44,16012.63,65.9,2.5,2.0,18927.9,2.0,0.0,16.9,0
2673.31,24392.47,50.6,2.5,2.0,23301.31,3.0,4.0,83.2,1
8058.31,29742.59,24.3,1.3,1.0,21597.49,7.0,1.0,39.5,1
4997.91,9217.45,,,2.0,31817.95,4.0,0.0,31.1,1
6539.98,11394.46,61.5,0.1,3.0,26279.82,1.0,1.0,43.1,0
8038.39,,24.4,15.5,1.0,15468.83,2.0,5.0,90.7,1
7928.9,36273.36,42.7,0.4,6.0,22336.45,2.0,5.0,65.0,0
8629.23,20742.03,34.9,,6.0,6689.0,3.0,3.0,27.1,1
6184.85,22318.22,60.1,0.3,6.0,22784.76,7.0,4.0,37.1,0
5145.45,5938.12,67.6,0.6,0.0,25015.67,6.0,5.0,,1
6244.9,17989.47,51.9,2.2,3.0,46701.38,7.0,2.0,,0
1100.53,22583.23,80.1,2.6,5.0,41181.42,5.0,4.0,67.7,1
1869.24,15725.18,64.7,3.5,2.0,12591.1,4.0,3.0,74.5,0
2267.36,27681.35,86.4,5.2,1.0,27421.23,5.0,1.0,-43.7,1
3308.81,38806.48,55.1,5.8,4.0,,3.0,3.0,87.4,1
7779.28,9476.43,130.0,1.9,0.0,22234.75,0.0,0.0,28.1,0
,8801.21,50.6,2.2,4.0,22999.74,0.0,3.0,41.9,0
5289.88,10100.2,,0.7,3.0,20752.6,4.0,1.0,95.1,1
10657.53,32455.79,40.4,4.9,4.0,47472.5,5.0,0.0,,1
5359.96,27381.2,58.4,1.0,4.0,20005.79,2.0,4.0,65.8,0
8860.05,16780.25,25.2,4.3,3.0,29091.25,0.0,2.0,72.4,0
3512.42,18329.04,69.5,17.3,4.0,-5348.36,0.0,2.0,79.4,0
5842.6,10651.11,21.1,1.0,0.0,34882.82,2.0,0.0,,0
3459.93,26010.24,66.6,0.1,6.0,39211.06,6.0,0.0,95.6,1
,14580.88,33.3,12.0,0.0,12375.64,3.0,5.0,55.0,1
9188.99,15659.31,54.6,1.7,6.0,18857.36,7.0,3.0,31.4,1
972.57,23479.11,76.3,2.8,6.0,,7.0,2.0,44.9,0
7890.16,16308.05,113.7,3.3,5.0,25233.53,6.0,3.0,55.6,1
7260.75,15885.31,39.3,14.7,5.0,,7.0,4.0,50.5,1
4598.72,18095.18,59.7,9.1,0.0,21553.11,1.0,0.0,23.7,0
1872.61,25158.2,47.1,0.1,6.0,47359.18,7.0,5.0,64.2,1
6730.81,32818.44,43.9,7.9,3.0,,7.0,3.0,8.1,1
4805.62,23269.38,47.3,6.0,2.0,57298.9,6.0,1.0,54.4,1
7244.56,25229.83,81.1,3.1,4.0,39903.09,1.0,1.0,105.9,0
,16201.31,52.3,9.7,3.0,34985.38,2.0,0.0,55.2,0
11625.69,11629.82,112.5,5.6,2.0,12514.27,5.0,1.0,75.8,1
5734.06,23885.88,72.2,3.2,2.0,35916.19,0.0,2.0,72.1,0
3224.81,19541.17,40.8,1.5,0.0,,6.0,1.0,114.2,1
7073.68,5196.34,54.9,2.7,6.0,-435.32,3.0,4.0,37.5,0
7203.99,15047.37,45.4,,4.0,8144.8,0.0,1.0,59.8,0
10849.4,17253.93,80.6,24.2,2.0,29291.54,2.0,2.0,58.0,0
9172.36,13405.88,26.9,1.8,5.0,23400.4,3.0,3.0,56.7,1
7641.99,31335.62,33.5,3.3,4.0,18802.26,5.0,0.0,16.6,1
11182.57,22318.55,50.0,11.4,0.0,37947.39,4.0,1.0,18.9,0
2695.96,30358.57,78.0,10.3,1.0,14394.65,2.0,0.0,52.2,0
4452.8,20370.83,90.1,6.2,1.0,19537.11,4.0,4.0,7.9,0
3534.96,18732.49,93.4,1.0,0.0,17235.64,7.0,4.0,42.6,1
5252.61,9570.62,74.7,5.2,5.0,31122.03,2.0,0.0,33.9,0
2094.6,18107.37,61.2,0.3,1.0,4366.5,2.0,4.0,43.7,0
8532.48,18117.49,80.5,9.5,5.0,19027.94,0.0,4.0,83.7,0
5788.89,5695.98,37.8,,3.0,4326.82,3.0,0.0,21.8,1
1793.42,13144.25,22.4,3.0,0.0,21245.49,2.0,0.0,76.4,1
3250.15,15090.46,72.6,12.0,5.0,33676.59,6.0,4.0,36.0,0
7503.24,21721.32,40.9,13.7,1.0,33890.76,0.0,1.0,,1
9182.01,22152.15,61.6,2.6,6.0,16268.82,4.0,2.0,65.0,0
12889.54,12768.13,65.6,1.9,0.0,31399.86,6.0,3.0,44.3,0
,22219.83,68.5,0.8,4.0,22778.04,2.0,0.0,27.0,0
,16361.29,83.6,,2.0,41333.02,0.0,2.0,41.6,0
3333.48,-7826.58,81.3,3.0,3.0,23440.45,5.0,2.0,2.3,0
-322.55,13637.68,67.3,1.0,5.0,-10676.57,4.0,4.0,62.7,1
7356.68,27710.9,53.3,2.4,5.0,35736.17,4.0,4.0,-34.9,0
3898.59,2863.75,,8.1,1.0,19490.81,7.0,1.0,76.9,1
5170.86,,49.9,2.4,0.0,21709.6,0.0,3.0,69.2,0
4541.29,32267.35,58.7,6.9,1.0,29031.08,1.0,2.0,96.8,0
6049.47,11154.48,120.6,3.0,5.0,7903.51,3.0,2.0,113.1,1
9911.14,18019.34,67.0,4.2,3.0,25895.84,4.0,4.0,78.2,0
7002.56,6263.85,72.9,8.3,5.0,31413.96,7.0,1.0,34.4,0
5992.37,32645.08,47.5,4.9,3.0,29368.77,4.0,3.0,112.8,1
3185.91,17250.01,,0.7,3.0,17812.82,1.0,2.0,18.6,0
1141.01,18419.64,79.7,1.8,0.0,36903.18,6.0,3.0,-1.3,0
-235.06,30188.7,79.9,7.0,0.0,13030.05,3.0,2.0,103.9,1
6327.9,23953.31,67.7,1.1,4.0,17493.74,6.0,5.0,68.8,1
12157.38,10119.34,85.8,2.9,1.0,23367.98,2.0,2.0,-0.5,0
6916.88,12174.5,91.0,0.3,2.0,28545.62,6.0,0.0,14.0,0
9644.77,22454.38,69.2,5.5,2.0,21105.48,4.0,2.0,67.4,1
4902.25,12382.91,60.5,7.4,4.0,39743.04,4.0,1.0,27.6,1
2708.18,-1055.19,82.7,3.4,6.0,28543.43,7.0,2.0,31.7,0
,17520.83,43.1,2.4,5.0,25907.9,1.0,5.0,107.1,1
4179.28,4678.09,47.2,0.7,4.0,28121.63,2.0,0.0,112.1,1
,32546.54,61.8,12.3,5.0,33794.87,1.0,0.0,56.1,0
3871.56,19591.09,24.7,3.6,3.0,27889.3,6.0,1.0,47.8,1
9183.17,9853.42,81.2,6.6,1.0,3285.8,6.0,2.0,77.3,1
3610.63,11712.31,41.8,8.5,3.0,38074.11,6.0,0.0,36.3,1
9481.03,995.42,52.6,3.6,6.0,26436.1,1.0,4.0,-10.5,0
7731.84,8104.84,58.3,3.0,5.0,33218.23,2.0,3.0,-25.3,0
,27146.91,63.9,2.7,2.0,20128.68,3.0,4.0,49.9,0
,38086.08,55.4,6.3,2.0,3079.4,6.0,2.0,76.7,1
4404.68,,61.5,1.6,6.0,-2346.92,6.0,5.0,52.4,1
7927.43,17171.62,61.7,5.3,0.0,13667.59,7.0,4.0,74.7,0
5044.05,14112.37,53.2,,6.0,31207.53,6.0,5.0,77.5,1
2578.06,9391.54,46.0,14.1,4.0,40574.69,7.0,0.0,90.8,1
2410.6,36537.89,86.8,3.7,5.0,28623.65,2.0,4.0,57.2,0
7052.28,16301.26,16.7,11.4,2.0,12373.27,4.0,2.0,59.7,1
11553.09,37040.67,58.5,5.0,4.0,15590.51,4.0,1.0,51.0,0
7011.97,30541.68,,0.1,2.0,41329.4,1.0,1.0,44.8,0
6120.36,2332.83,72.2,9.2,0.0,9270.63,7.0,1.0,8.0,0
7414.64,,31.0,0.4,3.0,50221.27,0.0,0.0,84.8,1
10679.21,11978.59,52.0,14.8,6.0,47512.45,6.0,2.0,41.3,0
7202.02,17281.38,60.7,2.8,1.0,50616.66,2.0,4.0,39.7,0
5185.03,17457.17,86.5,,1.0,29568.42,1.0,2.0,36.8,0
10040.12,44966.15,70.3,5.8,6.0,20901.7,4.0,0.0,14.5,1
7872.02,8304.95,37.0,2.3,6.0,29276.16,3.0,4.0,49.6,1
11414.42,20060.73,52.3,11.5,5.0,35903.02,3.0,1.0,,1
7086.35,23548.57,82.5,1.8,6.0,17190.69,7.0,5.0,32.3,1
2581.7,17985.85,36.6,2.6,6.0,11785.56,5.0,2.0,81.1,1
2121.89,18991.63,61.3,0.0,6.0,21592.76,4.0,0.0,41.7,0
11782.97,8596.72,62.8,0.6,6.0,15732.31,6.0,1.0,9.1,0
12015.73,18958.38,54.5,6.0,5.0,39890.64,6.0,4.0,90.5,1
5925.54,22602.59,122.3,0.3,2.0,17602.85,1.0,5.0,57.6,0
,20948.41,53.9,,3.0,26147.7,3.0,2.0,76.2,1
11176.62,23131.81,72.9,,2.0,36796.49,7.0,5.0,76.8,1
2957.45,30713.47,46.1,0.3,3.0,40358.11,6.0,1.0,25.5,1
